]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
JBLAUrBkh`BUc_nUwPpg,]sKmqmEQKMhqIgDnI`vP,yjBmSA_NUvA[b^hlyfHJ,H^rqgTG^UFG]vyIhGCYj,EVhfMVu\gEaRMBW[sgAu,aJlA`k[RqyUFUmIEYVXb,acFJXWYShPVjqocltG\f,OZ`]O]rVX[ZUiWWZhKXY
ciM]J]A[GdmacclbDmt^,AehOfNFt^NQmR[C`apZZ,fYgrwMjRaEe`tobICCHW,yof_sFuxqTWYZYa_keSX,kjlaimIfh^mPodfx[[fD,INOZkTVAA[w^XnZMFygW,gP_EOypAlkJnPnirObLi,SydltEShLCAULVKWvvsC
jJPALSMinmsxkWliPqjy,_Jbdi`gaADXsPDqUoKHy,Orlkhfx\abvGZfbuI\tv,rikOcoYZDCkZGXgdalS_,yWy\[dNQaEBwjaZIPEsg,w`GGX]L_ZbMULAJHxAZx,wdwAHTOE^kW_eWhqVgsy,tbKmfyteXsaAIavmANF`
hyASEoLsRrcnEkJrfwSc,HkhhNmM`VeoJAMSEvZdM,fcWYrZGa^U_Q_ll[tEPc,mPaINIbJLcQZAcZSSJik,^QVHKRdOWTEPxZ^qNoEo,YvTaAEXB[QNBob\L\r\H,Aehixl_\ZOcfgkSWGsuB,wcVpqBbyn_]QQkxpNbjZ
OBlAmF`oY_Vj_nhqcdGx,yb\`XqAwN`dwX\jlKIxj,SZFuUDWieU_NKEPa[eVS,tu_HMVTsHd]vMCBu^TfV,NagY\FVKppQgnwixhGEn,fTLJt\jJYLD]FZKcaYQ_,lFF^RdSauJtnXjDRequ_,eieMHpCYBSS]XMf^NFkZ
NG[kKDZcJWwdZoX[gHuF,psh]KVsIxaf^ghld`U]B,wuFfsMGwFGJaTaoVBCYK,duQ[]NRhjEPbUY\ibFCu,vvIZESnofZ_WZju]rRee,chjLvjaSgHr]nNNraCm[,uHoxEk`SyDWgvOOLawps,vf`PqHvy`isaMKiAd`lm
mdht\XeBnbBcidKCnead,RL`CXSOviUbusdxLPOQ],PkRstfhrHEdHHD]BYIHQ,oIfd\[_gDc`JBLhhiZWS,fnKMiHSTYskNEn^xt_MJ,OUPLWPyU_ECdP[lrmvHa,qyFwXkFAN\\hCgvT^lbx,kwGaucwrsksiUQnf`kHn
FtjOiG\XRbet]wQR\i_i,rffkVjsdcyU_OiExX^nq,DvkWPGZVkh_umo`eokJc,bP[tR^LA]RwS`pdq_g_n,aupoEXVIywliXtrqrvA[,NU\IiyOhpuTSIONhRjcR,Gk]XXDbpkS]ZBhoCMWhS,c[XGdFXcqdre_IRCpAVc
QpfnuJWGfAZxoVZoh]kR,qMWxVrBx[XqXJ\bqZaRJ,GCCPYileuH\\j`]dept^,VCws]eYCQwsaebxfApqe,AEeBQEnw]WTLOnHNpQTQ,OoUpv]hRYqDBcoGKrnvF,]sCS\iXtTiMs`eXiFUH\,jgsIS]XjZrHh`rqn^`Jh
xIEckkCcSiXbujNAjNfh,gS[QMk[ykFoBqMnXCgMh,PhCuNCwCpBTYCBjibnAq,igUIxoBvnAH`opZxSJUv,OklCYf\`f]HQKkaT^ODX,^bcaC\wU]XGloejtH^\D,bp\SFjJAXaDVZ^AfeQxW,NcKYwE[VLLFyJBdQEcsa
MPtto_pFShgByQQTZxuD,wXMaCsQaCeLSuJUUpcZA,QgVpM^QmLGYHKRjGr^w],`MWrtEZdFKMvCsLdSs[x,txlAxPgjXyBKqBTCTRg],FWEDCmWKDcwFZAY[RmVx,g[XQLhwddZI[RTgPmNRZ,jBAkfsnP[hqoIg[vp[OV
k\Dhfcm_w]_db[KL^bQX,\HmiQnMAlarq_SvjBbwY,uVo[nBFhgq]jwBZ[GEGd,m^MjjfWfwTlko]o[mmFv,`msBK^slOhYpcavxADFg,NCx`]hDlBYDRnN]q[FfR,jWe`nN]OpXnHZ`utjdkO,m]SjwmhROjDHNfN`IuHq
EtQp\oWQYHdTgdDMfKK],AqhWjvfjtOeSVKnW_QH],pNHcfGNa__vcV`JtBYej,^JGKxC[QOivpxwqjvYeh,_FZyYPkUNEYiS^pSgolX,Wot[gn]mqG`VKcgyfere,NAwSd_YcAGB^aWlOeqIK,kA_BsfpmmwNBiKafuwip
cye[CkFGpokHsaqUmZYK,EhyCgCtcNLmVVSAql]fy,DuGcDWLbqoksylR`cvFv,MG]najsfEFlofbFAkHIh,_UNmIOJG^j[LkpOjaRVN,T`hlugt^EIPejC\AY[[p,hbkJV[fI^\BAaSooniCM,PKgh^tfWHiYKkgLfoPOF
bCGES]bOndtrbpYLQZMf,HtsRVcurExwgrFEiTjMm,tKd^b_ZnyfZKDaj`iyMH,NFUuFuHqFLQxPmDNnCMf,nqtCa\`tiDE_XT`qUPOs,LT^[Rit[`DjyGEm\xCsk,`n_ucmtvDVVDttIWGeM],xqnpa[PEaVNVoMkGPN\O
DWGZelJRF^VFTstgBkMd,qjtUyUSUXBZHKD^HMTNG,_x`gI`KwHLTHXsugMwhA,rrM_EUhv[kw\fwVtFJZ\,_JKN[hRZSWZDycCaGGti,_SJrbX_MwpWgghTCAZBt,eUeJwc`odwovAOemqVum,yokUDT]CYtfdsZcvQUGS
nrNfVdYr^N`qCJF_oUjK,WkmMQjQLuyvGvQmEonej,[b[DBH\f\lPhOWef]ZjN,icqCgMVxR`ZvH^VZxZwj,tpfTntfiwjSaBZGaEoMi,cHyVQQSHBPIl`]UoiKGG,oSBx`q^rEacvxbBeTt[o,beZ_U\`qVQWTyGPCKoDo
RJpUOAjat[npBnKt[ttw,^hhK[H_ccoOBEG[JOFQo,LgiwCGu^pwIcVTtmKnAi,Wx\lFC^D\w]\_FgJ`hJf,BYAdtMScBFmKmuSidmhW,gyZmT^IEcSZvYQbpwlCL,xNmYCc^ZySe\gLGkVL[R,LhvGKbADih[Th^FwcHHt
JuloCuknQeaHHemFARkw,BRAatY^`tepIaxxANARn,flPDHXdOYkergMuQxcT`,[PV[pNt\sqvTym[YvfOJ,[^MY`aon^jXgAISJAGP`,_IAcW_UB[nnpWhuBmpmb,pOHJShUoZGVwg[PmQp^C,t[Nvu`TNeDjZKKwdJCVt
HuuTAVCLnjWEmbKOJQNu,_pwDuwpCeG``rnkSduDP,Qt\IeDVvdMWeIqJW_SaK,xTZAfyVCVgXQObShlL\x,idQaohv`brxeyKOujfSJ,pdhiNfB]WJDKYL[obXYc,UP[_rkQCTuMbjkK]R]`r,UgwoOPFjIKGhuxXfiJqJ
WlImKaIhdFgogw]hCAQF,NZZ_voKxgeubiLBEUEXQ,WyaZig`AGik`PNxDeOaM,SdbPchtx]XWvqTCUJL`P,knctYCRnifMwFwNxyxwR,CJXFrCFZbppfk_]Egicq,^V`Sh`YC[i^XRWa`SbHN,UtsaXf`aIcspTVpd\^ri
orFFd^SlFFlkh_\^]ZKG,UxT_iKpbxNKOFSy\OYAJ,OCL^LT_bnJrx_fckBWdb,lu\YTLl[ZrpiopqeXwbq,kNGBIFKXNgr^Oerwmwaw,ukS^H[r_GPsom\NFSE`I,_[osBRqoTu_U^v_ICax^,YGVqVel_XX_JJEOuCADe
YsgsFI\tmB\n\Zhvs^ri,ndbJq[jrbf`IPE`kLMCY,V`K_hTxVnqrorFB\swRo,JVqRuSiSsdY_uG`FfVPd,jv]oupUCBg`oPhhZ`]TI,^dvTstfw\^IGrpAMojvc,^HCvqvgfy[`sYN_VJIoA,dsAYprQS__MVMR[XaL[b
LThFpotkmfY`HJveiHTb,LQYXH\HKjDOM`JwETNSf,XR[ZdOydSBfxDmCNFEFV,lpguoNGvlcRiLvDPxFP_,YN^HJFVhjhLVwFUeTmVj,[HyTNLkUmp_aq\SCJQFi,kqNr]rYQIiyhprQwNCR],txZGRmIDeh]UbOXwE]oi
[eWcVuLKbTkrguoj]vuJ,BpJGnSglcGRSVPOWU_ge,`xy[evAuYsim[uqEhYVO,]P]WQFsNNODUagdwwmNj,DhV[WvlNfeQwxDogFcvt,pFX]mdt`NAERoSKLpt[V,txYOWhcHpsggc`TuBUiN,LQWJ_LkI_y\WmiTWS`Q`
UdFHdZYainSIsodBPYpi,HcpNKhRtCeYvNRqyRKUd,jtlWIlReCexT^FVBqCZl,SaKHwCdOtrGqltQFAL\J,whlrnQXeDELOqPFMuGfG,DhNpPTuMDYImfEyqS\rX,wqKJc]SOBqdtRW_klXeW,jqYvGDcrocTuHlGVXBUy
JTVCQnrtRaLZbYSx`jZo,kA\b[qXojyPC\I]TvZt\,lWNa]DS]xkNTiJqua]FO,b]I[faTZHec]JBxv`NUi,EyEaExUxSHUpR[YnBxjE,smBCZrIOMr]hSkCQVoG`,oIjvyFwftbyQcFghnweT,[E]NNoNQ^X^OYlIq]eWl
[LAirH]_NjgiZdiHN`Nr,HciNYVOmHwbpomoScOf_,ON[J\qJXQVoBs^_gi`Ox,u^UgD`sO\bwHZw[TeblT,y]luoNJfYcNN[JClbGGO,BrBYM]JEwHqAnwqQUmCA,okijrebL_lijc^bvOPKg,]h[UFpbEUjgaEtPfucu]
TlLwuRkAF\jHYwcYDYSG,hEtOhOBjoIU`s`HtHxR_,UAIHnvwVXAUJZdsWVco\,mmMXylpkc]VBMPqxZG\K,`EIJQV^Ic^Y`WMrFhZkf,FUYHIipAy`CBGosxHwCH,aH^RYm\O\j[GMEmGfmlo,kJ]NPjGMQbjdcB`seTP`
JVqIilsSnbsb`vLGdCkW,IaLMV\Gwp[UF_LcSpZwT,xU`kJwrCeY[rin_OWGcK,duR^DkEg^GMChUQ[ebn^,VxMSOpYXZX]xJlsBVNDk,rfRLK\raMmTIMKHcY_Jr,swh\vyJMx]]wolZDliGd,o\WprExDQBNmvohJ\XWg
IPPWBLSdVLN_[fyVYVhR,MlLtv]NQvTQqOE\eia_V,Wy_PNAUuPqHSveRpS\so,FeAvbxQd_ioBqDVUBoHd,TPNsFIUWt`rStuSGcpie,YxwEvIvCTkpHIGQkkxVD,BaGeUWHCwEgDJwSqEDPA,lfgGFXJXHidKF[IxTebd
OGFD_TWZLAQlvoZTycgM,iPimylFHvmn[UFCRkWcd,WHoi_taLsFdYJRclNmR`,uWv[crf[aPjcvINvQjJt,olYQ^hyNQu^RdZbNJqww,mOUPH^_tqNKXER^Mv^VT,[lBHkjaxRTSIEcgo`ypC,pCvnrW_vl`DNOkkaiwNe
BnKJwQRMVVrgAyfNB\s\,vYiDYUkkBgYWMhW^I_\n,UhpWZg_g^SCxZIdYnNGd,tifCTWXPvNqZrjjNInd`,sqZvbdVCKWCkcPIYfUHc,_v\[WHOGOr`dTdXKvXPf,UOOqQURWVAwCx_PKEte`,^hdScyMkF]LYcBbUqrQN
Z`gVYZuwbaNhrOIm_fYR,IdGdPWkYu[mtxh\aVYvK,FvDTPLxKxUrMRoWeTmJV,bTUpxxVXdaYXP[CsTEgt,sJe^jHcaJHHupafYBhaG,X[ldMGiVqSJEOGAErfsH,KMffK_H]PHGf\[OkrCqa,lb]goqubBbZXO]l[BsS\
iBvWjxNMnInYupEXpwy[,ssLYoYRTkdJaaCWyOdCj,uLQJfXYchDs`aw[KkPjs,]Ucq[`utySZj`kwaYRYq,OKDCkP^iJhBu``BVjTlH,JYSQHqTgCVIbsWCqZmAA,jCw_vrxdI[qOJUQseCkI,`\jIAQlwuEF[xCj[Xqjb
VmKiXfprfHS\aPlfkOH],\Apbar[yEH_BHT`NNVbE,FdILPQiYP`OP`[XUiBnE,pI^xPIgZLIlDwHjVBVIK,OnKkYRmJsLaStE^iQk\Z,R\Yk^xK`PPAPOgf\ENgO,aGdEVW_scvqeloJCqpdB,WmLuVCQlFOosDnxLiiFt
PRBjyq[EenS\edELS_TM,sb]Ht\^QXve_sLgk_kyS,CCGJmDjTneApmrFVnvmr,farYdVCmWmkqVul^KdeV,YowVRtA[qHiY_xEQg\cG,ZhRTBxA]QMIBGBIStSaN,nWw\vteDUuVIxdUtUeIJ,IfqWN\RV\SlhsHimU`HC
cgJTt`pTcecuQWSUkyAR,MxQkdX^\uhyFupiBlku],SKWOPZ_t_DArvkaM[\]a,QRBpwsanaUPdnwiuVto_,RodQJ[UEjgQMDoUhesgO,SnIycaKKdHbhyLXReKLv,Yc]fUkI_cRLSFyNKgu_w,kdGXeKDHsgxuRrRJYMde
XimZmw[HrBiRcw[iW^jF,vrUnhSphEsMaroMrloYt,P_vJrRcUuReoPrDQPPpx,jcHsouiI^`oLRelvmUOV,AqSpNuTFbGZAM\tc\Jvn,PSoYo_j^h\K\EGcF]MxO,bVNcLagsNcKOHAMowkUk,]MkR\RWtlsI`N]sJHyCK
ms]lDNQLrOEKuye`YHVa,dshaFFsnAitQUcN_lelx,yhAXuFYfuaYLWSoVqSIV,gc`vpcZWv^LoYEiTMqrp,CXSTA\yKYY[hteEw^Bre,iVUHkOcO^JA`ujiZEiwZ,gD`mfYWwPrBdaq`XaXVY,B[DDsjMHGXEC`PcFTtov
KTYgtwoWWckZNKAeTDcY,rIErx\`axbPMgc`pFkGK,SUDqgRNe`OG\CKREoNJb,D^L^]wd]UbrqcFrdhtwq,RtXuxOWRrgEGpHGwwnIm,^\fLoSnBmT^PuD_xedg[,fhRY[EnLib`BaLrTSeGs,`X^Jgs\fMvlalfOQXM\o
E_`mOQoSxTmL]NTDmH`Z,KX_SUK\l_FH_rNXYQme`,KPAyH`CVIpcHcdPlKKZd,ZhIjgq_swirrfXqPGo^S,jdheq]HpI`Ar\vnibvlD,HJcNotDmwEXeoda^MQjP,bOEEhKjs]rvEFgGivN\w,[c_Ifc_vgj^r\QT\aGrd
_VC_YdkJ[mxZeeGtYd`r,_JUTmEUkmKdoSCvoFEpA,Dogkve`dQerngOOri]lf,bScuw__gfGxnKWkPKWkR,RtuxKCMQPNN\EK^EbBnv,UMgQRvHtTIuvjyLYdnLj,UqBSqFAYyEBuyElRsatw,IbPPoxDEXjTKWJVKZyxc
DRmrTS`UemRwbgKTmhMf,bGXTdkuQncrSgdPfljuR,Tl^tBoCh^sLxbdvZqsFe,mDeqGMHS]NMsuSjY[rwo,NVHTQgb[JTThdY]WyOoC,ELjuwquoIporqC^__JHx,FxQCwtpHJupfkcBavpgG,^KaIORNg`\_XEuPuedsW
O]FuJYXhvMTsajyFNsge,Jli^wUKouZiSGu_fbPmT,Ou]CFhJYsDaVI__IR]dB,BfUrfXeUxufZYX]KMHvb,W_PiKxu^[UJQi_\EGHdf,EOOheKQmtqsEnELRqhIg,FjUv\hEiJeyt]TefpAbm,M[yHGjAvqfp]R_t`Yk`g
Bih^jEtcsAQxmjgdKiZy,kRsVkE`J[QqtwGGZ_ybF,gZdFaSFXDGBKPCsuYApY,^uwp\wYwuTjmeQZJc[Rv,NrvhRXQ\gMFMhodGDVTC,R``CsXvEf_fmsSkmuhTR,HqB]QwlDV^r_`KlnQEWs,\gJYJoQiFQZejgsFZWPn
hUmEB\V`tfXfYhJh\VvC,mIbsA\vcC\o[n[MxNO^q,Ke^voNtVDXyktFBtdTGq,jqGjlYxefP[sTqOREWu^,PXbSkgtwuFAXwWdOoypm,YYHt^aRpLqkYHgXc[Ame,^gm_OCeUCVrRMdGuHhbo,omWQpKRsKCIsdUJYaMbW
cd\QZunDTHyDijNyuSed,reo^FwlCDNd^BJZDb[KK,uOheeBodQa]FuugmOBF_,mn\yvKnSP_GKB`Oqv[sm,DZksxPsSWBtXU`I`ld^y,b_AaeiPNUCXlIQwPblxe,yqWeGyMo`OW\WgJAyxLT,djft^Ln`gEfQnFHwLtgP
AJHaFIZtTa_oQWhfFUbU,AdyCfwNaZpSSCeqN^a[E,P]MU`kbuahhPKVG\\TTE,QH`gDUXNLtSpCEnK`aEw,slKeZa]f_LDeiGYVGt^g,YHaDkGjC\dxJEWEcscwG,NjSr]^eKncceSQ_bKJlr,Gt`[Ej`YJJEkguc]HTtm
ockVDCn[ZlyJ`sjFnT\_,`OFcCiiCMEpKX\gnYNO^,LhkcOxhfQiNP_[JRwy`R,QEAdmlPgqqfsiOXtvRJ],WM^_qqLYLa^\jym_jDCw,qDY`qLZ[LolHFOMQmsNc,nk[[hycqlewGmTPFj[kE,XnWXbHQv`YA``OIc_af]
weEtRXBipbaoNEUkRTBK,ceOy]CJ`yKBBnoChaecF,WGIGyNu`y`KSHjMdvHJc,oy]TpqFFtcpyaFXQatoF,[YBuimbulbMtbFShtoF\,_GyOA^WgjytDJIxGZSKh,^emqqKLCsiBxoJQcJtty,^FbBm^HRF[rBsT]kIa\b
wRdyhPRGIocvsUKB_aQE,fuX_`[qEhGJlPL\fiXvL,D^ooeZcRKZUQjcwVcOFM,ofgjkUi\TsciOsnMWVGO,o]VvayMC]TRUOvjoaKyh,iLtnaXvtlginC[EPgIyb,hT\ywJMyFwVLvoSQ]kGq,hDQZwSwqGbfRSyIWtUfb
dieJLGN\YBY^HXsGTm^j,qqPXDrPnyBXNesbGMaGP,FeHZoZLkJlHxLYQHT]u\,jAfP]UtZPHYUZkNCePbG,\PQZMIIKQrEVwqnYXVhQ,tbEGxmEZl[PIxqrv`OkF,[uYoKfiQPdBMLbhyS`fw,DH_]iQnp[^\ZTobBHave
H^ZaV_vCBKv^tKmddZjF,qSmsVP\t_CjoKITjv_Uv,FSGFhtdSGElXfJAieAwQ,qHgBvBNXMFKiaR_AA^`f,qhivsIAZkPaxjjB]KAeF,ZbKIkOdETZa^pMi]iBBi,yrDvttHs^qJEwEJINv\s,^tHYvkdgyjVfdfvhu[gZ
URdibMcLYc\BLkWgkgNM,mG]xuDfBs]BYPWxnbWx\,SyXMONOaZSL\OVjuFcpV,nQsPxwfdGlqQ\qFqEHAJ,pKm[^Yu[xLjolTvv[lwb,ULKX[tpVYUJaauSPP]n[,[oaaAUlGCVQsFZkwJDDZ,Eoh`SLwHyi\BXdHJ^FU\
clKTr[Rdw[Zey]Bfxvpe,cCZowbFYcGaPIVy\JVpG,LhJBlGdktrWCHnHlxaGk,jy^[ReTpPiRbaRJMeqmr,RrMowswul\ujS[KHcaZY,_C_McgCypDu[rnWo\IlD,hsfhUuEB[SnZiCMjpQEZ,EgtDKoGkB[M_]rmOQ\UE
AOT_ykAASGICpGhdPuMV,VLWTUeaxWWPYLOBHoVjh,wMPBUKMKmq[rveVOBFRF,MCX]a`jeMROLEGmbLPWX,ChJJNMbLxypxefpGLwoK,vOx^ZDQtSkZXNFToFpbh,rLDVV_iypOBfaML`wG[U,nUfNQkjityonvxhpRVXM
Ltvd^HFpnAGhEWJGO_\[,ifri]mMlLMhhFgYdTHZO,LVMKHk[IFHtEo_PXYtK`,vIKCQBWu^XmjMBqldtDN,[Y_[pHewVtVEvspliDZm,kXUBhe]uWHR[rneuXWvW,kVu_R]TAD[R]ZdxtBDfZ,gtNiLXSGInDxybHPxuoW
GptTngGv_HmvkuKdNsHb,gdK_PrQMg_KjEjwBV`pk,KUD`^wCJJ[visnYx]p\O,jpIQunTNlJnQ[UExVrZO,Ep`GhbHXhhHaPVVc]d`a,spKTeZOjnylbTwIfipJK,OyJ^]hvedDfln\fgSogo,bDuRKrYJRey\dbLEMcLN
VYiti\Hg[Oe[O^AReMRp,kbnxJKkq]MHPDStLNane,HqblpJhjcIqNo^]dGaXi,AuTTJ\rqjJnj^WdVGNBW,UrGgbQBHYntHcF\tpwBJ,oN]baVIrTVTqyOsFyo]k,WeoGkouRmgxU^T\syTOg,pDrtiGQXLwOhf]Ehqiwr
lZYDKh_rd]rKGXvxjKHy,rNmvMXApa]CSXLpL[uOK,kHkTPf^]b^qrHCflsDBi,OpSXfr\_fkwDreGEDqVX,WYfqyaKA]NXMRGR]bQhX,mtjvxRrTF^boQTQ`^qnd,LSwPrp\dDaXWwQUgMqv[,F^JY^rGXhmlJTqOiZjgJ
BTKg\qrBifuHJjaYN^cH,SROTNmkFHa]gl_qosnkC,UK]nqYMFKZTgT[qnCvvQ,wNiiJYY[BDOmVfJhZCVd,WYODSewojbIpsnBfqbe[,vxTUctC\cH_nE_dCD_tM,tEcfZRPiWsjMIdet`Cll,MYKQmG^[rBj]BsyGqoFB
EkUxXY^YtdJbFMCxkYMM,Jts^TITZZLBoJocRgfVh,piZnyyEOkwBYiOREcW_P,yAjAvlx^GmDJPDiMhfMS,dUeYtmWWqLI`bqfoYHsp,V_kDqej_phSQr]rVYuZi,hCbu\]vjyTdmpfe^Asda,rPjyR^jnB`cQrhoHqTTP
laxPvDraMaaaXsACkIut,eZqeDJuidFreNfVOyjJR,kUuj\[\\NXmYVNWrYiD^,OMuygwipPMUmLCLcTJHu,totLpyaMImc]SE`KkRrc,CdiQIMCNvEAN_lf_\BV[,IkDbKGFuj]L[NL\UvlCJ,fPANdGbQ^KVRdADhTudF
W_FQtFpgFYCHWZOVQPNy,p`WwAQCBJs]^croxumYv,jdo_SXigwwaSGQWhXUmd,MCpEESPF\C\aOFowVnyF,ssKtjTOmPojcrJLQIVgi,wvB`ZtjHlavtXFk`kocj,ZfmeW^xG\JlYQvXSuiMQ,jly\P[[Tu_fcScWAmWX`
lma^aawfdUOhhCFuKFqm,laXhPRUwysKyaqp`LVj^,sAI^qNGXuZ_t[lWkycXL,OFtpwtEmqwGDu[YKeHpQ,hRrsReK]`[ojhY_di_UM,r_YfZvryIVlj`MWbVs]B,vwNlhGRbLfZuwxwu\LvJ,BKAUcnHYGWpxdBypmoBu
UAfoiFDuv]^ho\yshcHl,Y[DuDPrmCH_nUBT_h_Rw,RdRMYCtHxFjZMhkrhFST,UBAD^P]dmmiUFpiZ]QZP,CYOQdnXUGZn\q`oD^fA_,wGedIBarSnlP_uxxtSmG,ZQRNZCloqCRsrHNAhuPm,ApCjmoc_[MDtWPXrd]el
PTUDq_LCEm\aLBwLosxR,xjAwaHS_NFYgbmogQXYf,bTxNXpgv[nCqjmKabXAb,hgFyFEeGSRd`NvcpxB]u,ACiWZTBMdY`NkceujCVl,FZ^lfSekuGQtIArWyNEW,s]SgZ^knnpv]_AAoQnbr,aoJvN^NPIoCMDTWMRPLy
rE_mjNaKrTPSrm[HJ_it,uatdHItlO^t`GAkQQhRH,dcBZAAUsfggZthA]vtiq,VmRBTH^rxh]BhLKjgE[V,wE\dwNv\iA`MiY`mOiDI,lZGR\XUJEwTAtb_y`Nx],Gp`MIlEBJkptXELBFeMd,kfVqkSui_gHiCBJAfgmX
Cqid[s\CsPMG]XqtZRs`,xvvrTXyItxLpXwFUKBNh,dUNcwVJSwMXS[uR_fuhk,IfGRohHHWAEjsAuGdKWp,_dMPcWiPTnXHcvHBLrPd,TCs]V\INfw^xpR\Y^qdW,UwSP_oqYm]obtrncjWKw,ittrLeWKWkbhucbjNKIk
TpOmhanmAwbmCY[ubmDs,^lIN`c[RKCrChc`MEAkr,CIdfWPRAABSHg_aZSwwc,sP_plBuUu`HXiPkkQFRj,ZbfGTgILEJSAOSdZgJbU,p[pTSfRA_QPVZFnaQPBU,WdNdw\yxbqattGqpN_K],^SPDoldwYtxbsFfJ^itH
CuH`cjyFwPCQLKchiaFC,oUcMohLvKWi`cbEJKKyI,IEj`oEPjUyOBrWGX^XpO,rBVvbqwBweXR`eSCMlJ\,j]TvMEH^[FCiQkSECXIx,OexZmiE\VTjNjalqU\`p,\bNtIU]VulMbFIo[FkBn,t^pmHXZ_JCHNBjlywbgH
tIOnqxw\L[D_WWdtTKgG,]DcfDXiUmHERdAZn^\\P,tQYGXBO`qVFlyfZmnKCD,idnsLUMrdAvA[LIQApev,gCEPiodWF[proIPA\JnJ,[eDQZTtFYVybP`DkFgpj,goWSYCI^^GRqSK[_baZb,jtWM^Dv\uqoNsEbsWYGy
knR]]wGupRHLRIeNOx`_,KZSWUo`uGarAEWg_bZe\,BpaKoXGgMILA`XOk]_mv,xnmLO]WBAEmJomiquW[[,t^]S_OmvvOCNPtYfJ[Il,wgshAYElArZDg_pNZNMT,vVbDHdAudH_RljDDZnLp,pjGEEKbDJuBC``qHrtRt
]SIoaBkbVMTlOHXCsNZr,NIc`V`NsVYPNOSlthWHH,hlHHg_^bErYeqtZrlTdC,lFsnDPajjXfK^mQqtIHM,sB]bnXpetuAAlWDwOrvW,Jlj`OLprebIQEpJPReIl,QndUCwxiJYjjWgg\uy[G,\u`]cGgbgyIU]x`fiOFm
YQ^`SfTnCXwRcLs\bYQ`,Bln`DYaaNNpvaSwuWt[i,YhAoyG\J]GA\lAgdVIHE,tViCompjjVEPtPNn]^Ox,bONHUgNNEpYttglCnrPN,hQmFSjLkunNrpZq`K_Ko,_DgV]GNMSrQsBn[IqO[b,LKykmasYaHbXB\qnnDlq
FAsyVXRRbSKbcATY[bKG,FcoxbSykMlXj`ZYwYtfU,epbnZikT_tZDQ`^Rt[gt,xvwOISgWTyQA[Y\X`THM,eNHGlUuECaML\xKk^aRW,U_taA]KXjcEiMoV[RHaR,OmHakJh\`ldNlMCUrvDg,fuJqBUFicfmbZoGjlagy
clpFle\cE^UEvoGZVXRu,TSLamDgPrg^VSVUwxESg,\ZMxrU`_QgcQsnlV`CKb,FWy`USJXYCLRBpkUlOdh,QPOxUumxCtFWF\VEkICS,jDjofNqlmQCjSHZNwcSi,]Y]^SEKlIeBKC\^wCTqv,fESLYvbOLBSYZko\GOSY
TcgmInJjjJlBJsdbKOfC,H_`hoAMMKdhXSQK`DChH,lqKpiWwnQwwfuwtJBnvK,rEAkT]ivlJguhdxM\rEj,rlOnfOpEPBD`NMOnbixN,ksRX`nfQuQQX`NQiyWsb,OJeWXSNiTokbllldYnDN,fFYBS^PFvrEfP]ZofDUo
fMLW[rrthg^^scD[CPvu,URajkGoF_ZwWFwKyvxBk,Evl]SyHBlTGTRUIHyyVW,`ppyo_VRhPnUMD\\XZHB,BOcRtvwxYoqxNPpiaYgr,hUj\geDp]pDtEC]exqPN,LEhjNZfI_TXWAMR_TsHr,mXEYBjwaW`oAtWRo^LgA
G]BBDxQR[GBqZu^QguWC,CDl[VK[NwdYwCFQW^d_`,wXki[TA[fdQKA_miNBtx,yvfEldRNwNSBDU]Jp_OU,hTpIHhd]h\FoNvUHTplp,EwXF\vbstVx_CewQwtcV,tK\AGGkvDBCBtiedZdtT,PVGDk_Mux\lhaLyKExqS
Bsrs_lUQkOaHvZEwY^aI,MVF^lh__Sj\vQSPDGlJF,hpcov^FvTy^nbucl\IiE,V[JRLsF\tFP`dUYVjWRE,FBCJuIMJwUNoIxuWHDWS,LJ_QeJXunpsJfL\UxV_h,vmhUlQ\WWXAaPc^gM`lK,G\kgiKLgsuEIDmD[UJSR
vDTkrdcZ\rhrwRIPDsXc,CxtIKqnpG\^Ng^dqxOXa,fOY]VNbNHouImcdTQ\^n,WpiYqIjaenP`q]HikGfj,IgQLZeRPgankwimxL_oa,]eihOiAtCdVGrQbBtK\K,upJQdboIjcD[_[lfjJyL,_aXUWWOKTjyG[ms^Vl]`
SYqYWsiviQtJqBVdXL`Y,CQyPxuip^TVryyIoTtSL,CSiecPHMEMsFbtstkg_n,`iQOHLPtYacXCvmXCmbm,UpcOumnklFluLpfTnf^a,\BTAIylByyCnMaqVOgYC,RyFm_e]PO]UAQkoGAUU`,MR^`xv]wVRUfYmdEQAvN
v\UMg_mCxGcXOpeXXSMw,I`qTEa_]pXOdl[vnXyEw,BADdBoqXXgCRWBsSuyQT,jJkqA\YkAltm_PXCgmff,VQZjnFMV_dxXyWfSpEQn,nnCYkZuPPBwLKODRHFmU,GeRkFkQjnmFgFc\rAUxi,[puanJyokRuDvTfVTQGC
